listing_id,name,area,housing_mode,bedrooms,bathrooms,sqft,monthly_rent_total,monthly_required_fees_total,monthly_utilities_estimate,occupants,commute_minutes,safety_score,convenience_score,management_score,quiet_score,space_score,application_score,available_date,source_checked_at,source_url,is_synthetic,first_month_required,last_month_required,security_deposit_months,broker_fee_months,one_time_fees,notes
SYN-001,Harbor Point Residences,Central District,solo,1,1,720,3850,260,150,1,12,9.0,9.0,9.2,7.6,8.0,8.5,2026-08-18,2026-06-08,synthetic://listing/SYN-001,true,true,true,1,0,450,Strong management and short commute with a moderate noise trade-off.
SYN-002,Cedar Square Apartments,Medical District,solo,0,1,510,3050,180,140,1,22,8.7,8.5,8.6,8.8,6.2,9.0,2026-08-10,2026-06-06,synthetic://listing/SYN-002,true,true,true,1,0,400,Quiet managed studio with a balanced cost and application profile.
SYN-003,Atlas House,Campus South,shared,2,2,1120,5400,240,200,2,14,8.5,8.8,8.3,7.8,8.9,7.8,2026-08-25,2026-06-05,synthetic://listing/SYN-003,true,true,true,1,0,600,Two-bedroom two-bath shared option with strong space and cost efficiency.
SYN-004,Beacon Gardens,River Quarter,solo,1,1,760,3300,150,160,1,30,9.2,7.2,8.0,9.4,8.2,7.5,2026-08-20,2026-06-01,synthetic://listing/SYN-004,true,true,true,1,0,350,Excellent quiet and safety scores with a longer commute.
SYN-005,Parkline Lofts,Entertainment District,solo,0,1,485,2850,350,150,1,18,7.4,9.1,7.8,5.8,6.0,8.8,2026-08-15,2026-06-10,synthetic://listing/SYN-005,true,true,true,1,0,500,Affordable and convenient but below the example safety floor.
SYN-006,Riverstone Commons,North Residential,shared,2,2,1180,4800,200,220,2,34,8.8,7.0,8.2,9.1,9.0,7.0,2026-08-01,2026-05-28,synthetic://listing/SYN-006,true,true,true,1,0,500,Large quiet shared option near the commute limit.
SYN-007,University Edge,Campus Edge,solo,0,1,440,3600,300,120,1,6,8.1,9.5,8.8,6.5,5.8,9.2,2026-09-05,2026-06-09,synthetic://listing/SYN-007,true,true,true,1,0,500,Very short commute and strong application fit with small space and a later move-in.
SYN-008,Willow Court,West Village,shared,3,2,1320,6600,180,300,3,20,8.3,8.0,7.0,7.5,7.8,8.0,2026-08-20,2026-05-31,synthetic://listing/SYN-008,true,true,true,1,0,450,Low per-person cost but more roommate and coordination complexity.
SYN-009,MetroView,Central District,solo,1,1,690,4200,400,160,1,10,8.6,9.4,9.4,6.8,7.5,8.6,2026-08-18,2026-06-07,synthetic://listing/SYN-009,true,true,true,1,0,650,High-service building that exceeds the example upfront cash cap.
SYN-010,Franklin Place,Outer East,solo,0,1,530,2450,100,180,1,38,7.8,6.8,7.3,8.2,6.6,7.6,2026-08-12,2026-06-03,synthetic://listing/SYN-010,true,true,true,1,0,300,Low cost but outside the example commute constraint.
SYN-011,Summit House,Midtown,solo,1,1,670,3500,220,160,1,28,6.5,8.2,8.1,8.0,7.4,8.1,2026-08-19,2026-06-04,synthetic://listing/SYN-011,true,true,true,1,0,400,Reasonable overall profile but below the example safety threshold.
SYN-012,Elm Commons,North Residential,shared,2,2,1080,6200,260,200,2,24,9.0,7.8,8.7,8.9,8.7,7.9,2026-08-20,2026-02-01,synthetic://listing/SYN-012,true,true,true,1,0,550,Strong qualitative profile with intentionally stale source metadata for testing.
SYN-013,Northgate Residences,Campus North,solo,0,1,520,3200,200,140,1,16,8.0,8.1,7.7,8.1,6.8,8.2,2026-09-20,2026-06-11,synthetic://listing/SYN-013,true,true,true,1,0,425,Balanced studio that arrives after the example move-in tolerance.
SYN-014,Scholars Landing,Campus East,shared,2,2,1040,5100,210,220,2,9,7.9,9.2,8.1,6.9,8.4,9.5,2026-08-12,2026-06-12,synthetic://listing/SYN-014,true,true,true,1,0,500,Short commute and strong international application fit with moderate quiet score.
